Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","220pF","C_0603_1608Metric",114.9860,-86.1315,90.0000,bottom
"C2","150pF","C_0603_1608Metric",118.7960,-89.5605,-90.0000,bottom
"C3","150pF","C_0603_1608Metric",118.7960,-92.6595,-90.0000,bottom
"C4","not assembled","C_0603_1608Metric",116.8910,-90.3480,-90.0000,bottom
"C5","470pF","C_0603_1608Metric",114.9860,-90.3480,90.0000,bottom
"C6","100nF","C_0603_1608Metric",105.8420,-90.3000,-90.0000,bottom
"C7","not assembled","C_0603_1608Metric",85.0140,-86.1315,90.0000,bottom
"C8","330pF","C_0603_1608Metric",83.2360,-86.1315,90.0000,bottom
"C9","150pF","C_0603_1608Metric",81.2040,-88.9510,-90.0000,bottom
"C10","150pF","C_0603_1608Metric",81.2040,-92.1515,-90.0000,bottom
"C11","10pF","C_0603_1608Metric",83.1090,-90.3225,-90.0000,bottom
"C12","470pF","C_0603_1608Metric",85.0140,-90.3225,90.0000,bottom
"C13","100nF","C_0603_1608Metric",94.1580,-90.3225,-90.0000,bottom
"C14","not assembled","C_0603_1608Metric",116.8910,-86.1315,90.0000,bottom
"C15","33pF","C_0603_1608Metric",86.6650,-149.3000,90.0000,bottom
"C16","33pF","C_0603_1608Metric",88.6970,-149.2760,90.0000,bottom
"C17","33pF","C_0603_1608Metric",103.8500,-154.5875,-90.0000,bottom
"C18","33pF","C_0603_1608Metric",114.0375,-151.5500,0.0000,bottom
"C19","33pF","C_0603_1608Metric",96.4440,-100.7620,-90.0000,bottom
"C20","100n","C_0603_1608Metric",89.5860,-114.4780,-90.0000,bottom
"C21","100n","C_0603_1608Metric",94.8000,-141.6000,180.0000,bottom
"C22","10n","C_0603_1608Metric",112.4000,-141.3100,0.0000,bottom
"C23","100nF","C_0603_1608Metric",106.3500,-118.4150,0.0000,bottom
"C24","100nF","C_0603_1608Metric",93.5000,-146.0000,-90.0000,bottom
"C25","100nF","C_0603_1608Metric",78.6640,-131.8770,0.0000,bottom
"C26","100nF","C_0603_1608Metric",77.6480,-112.7000,-90.0000,bottom
"C27","100nF","C_0603_1608Metric",101.0795,-110.4775,-90.0000,bottom
"C28","100nF","C_0603_1608Metric",99.9745,-82.4740,180.0000,bottom
"C29","10uF","C_0805_2012Metric",115.6845,-138.4885,0.0000,bottom
"C30","100n","C_0603_1608Metric",101.1000,-113.6000,90.0000,bottom
"C31","33pF","C_0603_1608Metric",103.5560,-100.7620,90.0000,bottom
"C32","100n","C_0603_1608Metric",117.2720,-110.6680,90.0000,bottom
"C33","100n","C_0603_1608Metric",110.1346,-117.8308,0.0000,bottom
"C34","22n","C_0603_1608Metric",78.4100,-122.0980,180.0000,bottom
"C35","100n","C_0603_1608Metric",77.6480,-124.6380,90.0000,bottom
"C36","47u","C_1206_3216Metric",116.8300,-114.2200,0.0000,bottom
"C37","1u","C_0603_1608Metric",121.2089,-110.7442,180.0000,bottom
"D1","BB914","SOT-23",112.1260,-90.2500,180.0000,bottom
"D2","BB914","SOT-23",87.8740,-90.2362,180.0000,bottom
"J1","USB_C_Receptacle","USB_C_Receptacle_Amphenol_12401610E4-2A",120.0500,-121.7500,-90.0000,bottom
"L1","1mH","L_1008_2520Metric",120.0660,-85.5220,180.0000,bottom
